_id	model.x	model.y	weighted	first-order weighting	context window size	second-order window size	second-order scheme	MDS stress	Same Class Path ratio
air.n.10-10.weightsNONE.10-10.diceM	-8.268801608	-1.867917743	no	none	L10-R10	L10-R10	diceM	22.99	0.294345811
air.n.10-10.weightsNONE.10-10.LLR	-7.923585598	-3.331910752	no	none	L10-R10	L10-R10	LLR	27.27	0.387590889
air.n.10-10.weightsNONE.10-10.pospmi	-2.325306289	-0.532665552	no	none	L10-R10	L10-R10	pospmi	21.38	0.26344839
air.n.10-10.weightsNONE.10-10.tScore	-4.48271776	-1.56657247	no	none	L10-R10	L10-R10	tScore	25.2	0.267925695
air.n.10-10.weightsNONE.2-2.diceM	-6.387335024	-6.530920728	no	none	L10-R10	L2-R2	diceM	26.17	0.418748854
air.n.10-10.weightsNONE.2-2.LLR	-12.61967457	13.21953972	no	none	L10-R10	L2-R2	LLR	41.67	0.361547874
air.n.10-10.weightsNONE.2-2.pospmi	-2.346324038	-0.040419691	no	none	L10-R10	L2-R2	pospmi	23.3	0.287974825
air.n.10-10.weightsNONE.2-2.tScore	-6.56815038	-3.559783322	no	none	L10-R10	L2-R2	tScore	31.64	0.317488524
air.n.10-10.weightsNONE.4-4.diceM	-7.796332063	-0.846830844	no	none	L10-R10	L4-R4	diceM	25.11	0.396957131
air.n.10-10.weightsNONE.4-4.LLR	4.669778387	17.13694155	no	none	L10-R10	L4-R4	LLR	41.65	0.339395778
air.n.10-10.weightsNONE.4-4.pospmi	-2.123642943	-1.002510513	no	none	L10-R10	L4-R4	pospmi	24.7	0.292489937
air.n.10-10.weightsNONE.4-4.tScore	-4.806052381	-1.735865616	no	none	L10-R10	L4-R4	tScore	26.08	0.295560517
air.n.10-10.weightsNONE.7-7.diceM	-7.698249985	-0.594959397	no	none	L10-R10	L7-R7	diceM	23.08	0.306240766
air.n.10-10.weightsNONE.7-7.LLR	-7.595856099	-5.325334853	no	none	L10-R10	L7-R7	LLR	28.68	0.354072088
air.n.10-10.weightsNONE.7-7.pospmi	-2.160652503	-0.130345502	no	none	L10-R10	L7-R7	pospmi	22.34	0.272720356
air.n.10-10.weightsNONE.7-7.tScore	-4.198628612	-1.474668246	no	none	L10-R10	L7-R7	tScore	25.94	0.27171842
air.n.20-20.weightsNONE.10-10.diceM	-5.086656347	-3.415484792	no	none	L20-R20	L10-R10	diceM	21.41	0.302701488
air.n.20-20.weightsNONE.10-10.LLR	-4.228873614	-5.966848388	no	none	L20-R20	L10-R10	LLR	28.46	0.356546302
air.n.20-20.weightsNONE.10-10.pospmi	-2.030547814	-1.671149083	no	none	L20-R20	L10-R10	pospmi	22.25	0.265305219
air.n.20-20.weightsNONE.10-10.tScore	-5.552860057	-3.859295845	no	none	L20-R20	L10-R10	tScore	23.97	0.363399726
air.n.20-20.weightsNONE.2-2.diceM	-2.829212767	-6.381782253	no	none	L20-R20	L2-R2	diceM	25.69	0.304915686
air.n.20-20.weightsNONE.2-2.LLR	-5.116729139	-6.531126502	no	none	L20-R20	L2-R2	LLR	33.61	0.403144547
air.n.20-20.weightsNONE.2-2.pospmi	-2.208437213	-0.979645121	no	none	L20-R20	L2-R2	pospmi	24.62	0.229795446
air.n.20-20.weightsNONE.2-2.tScore	-5.064845533	-4.310275798	no	none	L20-R20	L2-R2	tScore	29.28	0.35700553
air.n.20-20.weightsNONE.4-4.diceM	-2.914963668	-4.852268338	no	none	L20-R20	L4-R4	diceM	24.56	0.290499572
air.n.20-20.weightsNONE.4-4.LLR	-6.817742767	-3.828392551	no	none	L20-R20	L4-R4	LLR	31.63	0.421815334
air.n.20-20.weightsNONE.4-4.pospmi	-2.210112903	-1.664633083	no	none	L20-R20	L4-R4	pospmi	22.45	0.241044529
air.n.20-20.weightsNONE.4-4.tScore	-4.441390085	-4.427264681	no	none	L20-R20	L4-R4	tScore	26.62	0.373342122
air.n.20-20.weightsNONE.7-7.diceM	-2.392921469	-5.179146191	no	none	L20-R20	L7-R7	diceM	22.88	0.303092604
air.n.20-20.weightsNONE.7-7.LLR	-6.300731107	-5.099836905	no	none	L20-R20	L7-R7	LLR	30.4	0.381304472
air.n.20-20.weightsNONE.7-7.pospmi	-1.867509598	-1.630737431	no	none	L20-R20	L7-R7	pospmi	22.6	0.254162451
air.n.20-20.weightsNONE.7-7.tScore	-3.668876216	-2.849176683	no	none	L20-R20	L7-R7	tScore	24.15	0.367697808
air.n.40-40.weightsNONE.10-10.diceM	-2.655141266	-5.215006946	no	none	L40-R40	L10-R10	diceM	20.61	0.307880894
air.n.40-40.weightsNONE.10-10.LLR	-3.964971643	-7.069615747	no	none	L40-R40	L10-R10	LLR	28.97	0.405788381
air.n.40-40.weightsNONE.10-10.pospmi	-1.699814819	-2.972385005	no	none	L40-R40	L10-R10	pospmi	22.52	0.249817133
air.n.40-40.weightsNONE.10-10.tScore	-3.958082359	-4.476703767	no	none	L40-R40	L10-R10	tScore	20.84	0.334585512
air.n.40-40.weightsNONE.2-2.diceM	-4.261438548	-7.853230031	no	none	L40-R40	L2-R2	diceM	25.54	0.292630789
air.n.40-40.weightsNONE.2-2.LLR	-3.661596132	-9.587461092	no	none	L40-R40	L2-R2	LLR	33.3	0.353937927
air.n.40-40.weightsNONE.2-2.pospmi	-1.643541616	-2.475946286	no	none	L40-R40	L2-R2	pospmi	23.55	0.26792329
air.n.40-40.weightsNONE.2-2.tScore	-3.196952207	-4.957054367	no	none	L40-R40	L2-R2	tScore	29.5	0.334437371
air.n.40-40.weightsNONE.4-4.diceM	-2.637700361	-6.119690285	no	none	L40-R40	L4-R4	diceM	23.63	0.284727545
air.n.40-40.weightsNONE.4-4.LLR	-6.506845147	-7.745585057	no	none	L40-R40	L4-R4	LLR	32.28	0.388537626
air.n.40-40.weightsNONE.4-4.pospmi	-1.996771927	-2.755871388	no	none	L40-R40	L4-R4	pospmi	22.26	0.262892648
air.n.40-40.weightsNONE.4-4.tScore	-3.228197415	-4.701521274	no	none	L40-R40	L4-R4	tScore	24.84	0.320165855
air.n.40-40.weightsNONE.7-7.diceM	-1.698689477	-4.6923365	no	none	L40-R40	L7-R7	diceM	22.18	0.297737521
air.n.40-40.weightsNONE.7-7.LLR	-4.470341606	-7.286556689	no	none	L40-R40	L7-R7	LLR	29.84	0.402275062
air.n.40-40.weightsNONE.7-7.pospmi	-1.112041801	-2.956632338	no	none	L40-R40	L7-R7	pospmi	21.7	0.254417851
air.n.40-40.weightsNONE.7-7.tScore	-3.293164025	-3.943461809	no	none	L40-R40	L7-R7	tScore	22.22	0.320950035
air.n.10-10.weightsBNC-2-2pospmi.10-10.diceM	2.635852513	8.050442365	yes	BNC-2-2pospmi	L10-R10	L10-R10	diceM	23.17	0.306712555
air.n.10-10.weightsBNC-2-2pospmi.10-10.LLR	-0.836119985	4.227051335	yes	BNC-2-2pospmi	L10-R10	L10-R10	LLR	27.46	0.370938665
air.n.10-10.weightsBNC-2-2pospmi.10-10.pospmi	2.204249076	4.7368662	yes	BNC-2-2pospmi	L10-R10	L10-R10	pospmi	22.7	0.251978716
air.n.10-10.weightsBNC-2-2pospmi.10-10.tScore	0.243496475	4.29602383	yes	BNC-2-2pospmi	L10-R10	L10-R10	tScore	25.05	0.340232128
air.n.10-10.weightsBNC-2-2pospmi.2-2.diceM	-3.401467496	5.941232717	yes	BNC-2-2pospmi	L10-R10	L2-R2	diceM	26.85	0.315310208
air.n.10-10.weightsBNC-2-2pospmi.2-2.LLR	-2.207111101	5.650235486	yes	BNC-2-2pospmi	L10-R10	L2-R2	LLR	31.55	0.382858357
air.n.10-10.weightsBNC-2-2pospmi.2-2.pospmi	3.377111011	4.57294513	yes	BNC-2-2pospmi	L10-R10	L2-R2	pospmi	26.14	0.232464029
air.n.10-10.weightsBNC-2-2pospmi.2-2.tScore	0.356269726	5.014070547	yes	BNC-2-2pospmi	L10-R10	L2-R2	tScore	28.35	0.325643366
air.n.10-10.weightsBNC-2-2pospmi.4-4.diceM	3.091603416	6.791839659	yes	BNC-2-2pospmi	L10-R10	L4-R4	diceM	24.97	0.294405543
air.n.10-10.weightsBNC-2-2pospmi.4-4.LLR	-1.045731335	4.937637598	yes	BNC-2-2pospmi	L10-R10	L4-R4	LLR	29.76	0.403132174
air.n.10-10.weightsBNC-2-2pospmi.4-4.pospmi	1.620798248	4.783379346	yes	BNC-2-2pospmi	L10-R10	L4-R4	pospmi	23.69	0.239742205
air.n.10-10.weightsBNC-2-2pospmi.4-4.tScore	0.305760848	4.820786085	yes	BNC-2-2pospmi	L10-R10	L4-R4	tScore	27.07	0.344960461
air.n.10-10.weightsBNC-2-2pospmi.7-7.diceM	2.818789844	6.056262423	yes	BNC-2-2pospmi	L10-R10	L7-R7	diceM	22.89	0.303089564
air.n.10-10.weightsBNC-2-2pospmi.7-7.LLR	-0.912916968	3.81714711	yes	BNC-2-2pospmi	L10-R10	L7-R7	LLR	28.38	0.367123705
air.n.10-10.weightsBNC-2-2pospmi.7-7.pospmi	1.263616979	5.055837513	yes	BNC-2-2pospmi	L10-R10	L7-R7	pospmi	23.61	0.237889739
air.n.10-10.weightsBNC-2-2pospmi.7-7.tScore	0.168847931	3.062949437	yes	BNC-2-2pospmi	L10-R10	L7-R7	tScore	25.82	0.333721767
air.n.10-10.weightsBNC-4-4pospmi.10-10.diceM	5.52362328	4.734665019	yes	BNC-4-4pospmi	L10-R10	L10-R10	diceM	19.82	0.373975834
air.n.10-10.weightsBNC-4-4pospmi.10-10.LLR	-0.31476759	3.47338329	yes	BNC-4-4pospmi	L10-R10	L10-R10	LLR	26.27	0.357098396
air.n.10-10.weightsBNC-4-4pospmi.10-10.pospmi	1.97540092	3.487704219	yes	BNC-4-4pospmi	L10-R10	L10-R10	pospmi	22.09	0.313921977
air.n.10-10.weightsBNC-4-4pospmi.10-10.tScore	0.390915569	3.329934855	yes	BNC-4-4pospmi	L10-R10	L10-R10	tScore	24.12	0.274709525
air.n.10-10.weightsBNC-4-4pospmi.2-2.diceM	2.797751897	5.153745305	yes	BNC-4-4pospmi	L10-R10	L2-R2	diceM	25.61	0.382505484
air.n.10-10.weightsBNC-4-4pospmi.2-2.LLR	-0.821334306	5.307589584	yes	BNC-4-4pospmi	L10-R10	L2-R2	LLR	31.15	0.371485627
air.n.10-10.weightsBNC-4-4pospmi.2-2.pospmi	2.102942956	3.641695225	yes	BNC-4-4pospmi	L10-R10	L2-R2	pospmi	24.26	0.33396695
air.n.10-10.weightsBNC-4-4pospmi.2-2.tScore	0.078209372	3.858928852	yes	BNC-4-4pospmi	L10-R10	L2-R2	tScore	28.92	0.325268557
air.n.10-10.weightsBNC-4-4pospmi.4-4.diceM	2.839621641	4.928341193	yes	BNC-4-4pospmi	L10-R10	L4-R4	diceM	22.86	0.351144869
air.n.10-10.weightsBNC-4-4pospmi.4-4.LLR	-0.257404344	5.156711915	yes	BNC-4-4pospmi	L10-R10	L4-R4	LLR	29.44	0.341783478
air.n.10-10.weightsBNC-4-4pospmi.4-4.pospmi	1.856956181	4.245354238	yes	BNC-4-4pospmi	L10-R10	L4-R4	pospmi	22.73	0.312361994
air.n.10-10.weightsBNC-4-4pospmi.4-4.tScore	0.816341527	3.55574903	yes	BNC-4-4pospmi	L10-R10	L4-R4	tScore	25.86	0.298762309
air.n.10-10.weightsBNC-4-4pospmi.7-7.diceM	3.959171928	4.898274185	yes	BNC-4-4pospmi	L10-R10	L7-R7	diceM	20.3	0.383611973
air.n.10-10.weightsBNC-4-4pospmi.7-7.LLR	-0.252038416	4.86296419	yes	BNC-4-4pospmi	L10-R10	L7-R7	LLR	27.43	0.348350017
air.n.10-10.weightsBNC-4-4pospmi.7-7.pospmi	1.40632941	3.364265429	yes	BNC-4-4pospmi	L10-R10	L7-R7	pospmi	21.16	0.312365189
air.n.10-10.weightsBNC-4-4pospmi.7-7.tScore	0.638435475	4.334661841	yes	BNC-4-4pospmi	L10-R10	L7-R7	tScore	25.46	0.261048448
air.n.10-10.weightsBNC-7-7pospmi.10-10.diceM	3.274150264	4.840101944	yes	BNC-7-7pospmi	L10-R10	L10-R10	diceM	19.96	0.223623057
air.n.10-10.weightsBNC-7-7pospmi.10-10.LLR	-0.66388038	2.157939959	yes	BNC-7-7pospmi	L10-R10	L10-R10	LLR	25.02	0.458911859
air.n.10-10.weightsBNC-7-7pospmi.10-10.pospmi	1.430961902	3.479010576	yes	BNC-7-7pospmi	L10-R10	L10-R10	pospmi	21.87	0.214172106
air.n.10-10.weightsBNC-7-7pospmi.10-10.tScore	0.200577762	2.921780218	yes	BNC-7-7pospmi	L10-R10	L10-R10	tScore	23.63	0.437586035
air.n.10-10.weightsBNC-7-7pospmi.2-2.diceM	1.700967002	4.905480729	yes	BNC-7-7pospmi	L10-R10	L2-R2	diceM	25.67	0.26920545
air.n.10-10.weightsBNC-7-7pospmi.2-2.LLR	-2.813124894	4.195715935	yes	BNC-7-7pospmi	L10-R10	L2-R2	LLR	30.7	0.422647469
air.n.10-10.weightsBNC-7-7pospmi.2-2.pospmi	0.986771982	5.103332348	yes	BNC-7-7pospmi	L10-R10	L2-R2	pospmi	24.77	0.230323244
air.n.10-10.weightsBNC-7-7pospmi.2-2.tScore	-0.292561435	3.26182204	yes	BNC-7-7pospmi	L10-R10	L2-R2	tScore	27.92	0.378673313
air.n.10-10.weightsBNC-7-7pospmi.4-4.diceM	0.394034812	3.916028931	yes	BNC-7-7pospmi	L10-R10	L4-R4	diceM	23.14	0.226276506
air.n.10-10.weightsBNC-7-7pospmi.4-4.LLR	-2.354499808	2.32334243	yes	BNC-7-7pospmi	L10-R10	L4-R4	LLR	28.51	0.47828107
air.n.10-10.weightsBNC-7-7pospmi.4-4.pospmi	0.971899655	3.77132494	yes	BNC-7-7pospmi	L10-R10	L4-R4	pospmi	23.05	0.214957276
air.n.10-10.weightsBNC-7-7pospmi.4-4.tScore	0.366661751	3.417923396	yes	BNC-7-7pospmi	L10-R10	L4-R4	tScore	25.05	0.441025695
air.n.10-10.weightsBNC-7-7pospmi.7-7.diceM	2.681759364	4.369871986	yes	BNC-7-7pospmi	L10-R10	L7-R7	diceM	20.6	0.2158855
air.n.10-10.weightsBNC-7-7pospmi.7-7.LLR	-0.921381984	2.46689211	yes	BNC-7-7pospmi	L10-R10	L7-R7	LLR	25.71	0.45802335
air.n.10-10.weightsBNC-7-7pospmi.7-7.pospmi	2.091339546	4.228009389	yes	BNC-7-7pospmi	L10-R10	L7-R7	pospmi	23.22	0.219947146
air.n.10-10.weightsBNC-7-7pospmi.7-7.tScore	0.595063623	3.095801931	yes	BNC-7-7pospmi	L10-R10	L7-R7	tScore	24.14	0.425251885
air.n.20-20.weightsBNC-2-2pospmi.10-10.diceM	6.021891669	1.916504274	yes	BNC-2-2pospmi	L20-R20	L10-R10	diceM	22.2	0.211012991
air.n.20-20.weightsBNC-2-2pospmi.10-10.LLR	1.684378616	-1.082790528	yes	BNC-2-2pospmi	L20-R20	L10-R10	LLR	25.85	0.482945109
